iterations	thousand
12399	0.1013
12409	0.1019
12419	0.1023
12429	0.1028
12439	0.1034
12449	0.1032
12459	0.1029
12469	0.1035
12479	0.1039
12489	0.1042
12499	0.1039
12509	0.1038
12519	0.1035
12529	0.1041
12539	0.1039
12549	0.1038
12559	0.1043
12569	0.1047
12579	0.1049
12589	0.1051
12599	0.1046
12609	0.1038
12619	0.1039
12629	0.104
12639	0.1035
12649	0.1035
12659	0.104
12669	0.1032
12679	0.1033
12689	0.1029
12699	0.1031
12709	0.1031
12719	0.1029
12729	0.1029
12739	0.1026
12749	0.102
12759	0.1013
12769	0.1013
12779	0.101
12789	0.1017
12799	0.1013
12809	0.1017
12819	0.1012
12829	0.1011
12839	0.1013
12849	0.1014
12859	0.1011
12869	0.1007
12879	0.1009
12889	0.1014
12899	0.1011
12909	0.1014
12919	0.1018
12929	0.1011
12939	0.1007
12949	0.1016
12959	0.1014
12969	0.1012
12979	0.1014
12989	0.1008
12999	0.101
13009	0.101
13019	0.102
13029	0.1023
13039	0.1027
13049	0.1032
13059	0.1033
13069	0.104
13079	0.1042
13089	0.1045
13099	0.1041
13109	0.104
13119	0.1041
13129	0.1044
13139	0.1052
13149	0.1046
13159	0.1048
13169	0.1046
13179	0.1046
13189	0.1049
13199	0.1049
13209	0.1046
13219	0.1047
13229	0.1042
13239	0.1043
13249	0.1046
13259	0.1046
13269	0.1043
13279	0.1041
13289	0.1039
13299	0.1044
13309	0.1043
13319	0.1037
13329	0.1038
13339	0.1037
13349	0.1033
13359	0.1029
13369	0.1026
13379	0.1032
13389	0.1031
13399	0.1025
13409	0.1019
13419	0.1015
13429	0.101
13439	0.1008
13449	0.1007
13459	0.1011
13469	0.1016
13479	0.1015
13489	0.1018
13499	0.1021
13509	0.1022
13519	0.1029
13529	0.1023
13539	0.1022
13549	0.1027
13559	0.1022
13569	0.1027
13579	0.1026
13589	0.1025
13599	0.103
13609	0.1038
13619	0.1038
13629	0.1029
13639	0.1034
13649	0.1036
13659	0.1038
13669	0.1046
13679	0.1044
13689	0.1049
13699	0.1044
13709	0.1051
13719	0.1055
13729	0.1062
13739	0.1064
13749	0.1067
13759	0.1071
13769	0.1067
13779	0.1065
13789	0.1063
13799	0.1065
13809	0.1066
13819	0.1072
13829	0.1071
13839	0.1072
13849	0.1072
13859	0.1072
13869	0.1072
13879	0.1075
13889	0.1072
13899	0.1073
13909	0.1068
13919	0.1064
13929	0.1071
13939	0.1074
13949	0.107
13959	0.1071
13969	0.1069
13979	0.1065
13989	0.1067
13999	0.1068
14009	0.1068
14019	0.106
14029	0.1059
14039	0.1056
14049	0.1055
14059	0.1048
14069	0.1053
14079	0.1047
14089	0.1046
14099	0.1039
14109	0.1034
14119	0.1028
14129	0.1027
14139	0.1019
14149	0.1026
14159	0.1028
14169	0.1029
14179	0.1034
14189	0.1032
14199	0.1042
14209	0.1039
14219	0.1036
14229	0.1033
14239	0.1039
14249	0.104
14259	0.1039
14269	0.1048
14279	0.105
14289	0.1046
14299	0.1045
14309	0.1051
14319	0.1054
14329	0.1055
14339	0.1052
14349	0.1058
14359	0.1063
14369	0.1069
14379	0.1063
14389	0.1067
14399	0.1067
14409	0.1062
14419	0.1066
14429	0.1068
14439	0.1067
14449	0.1072
14459	0.107
14469	0.1065
14479	0.1062
14489	0.1063
14499	0.1063
14509	0.1064
14519	0.1063
14529	0.1065
14539	0.1063
14549	0.1054
14559	0.1055
14569	0.1053
14579	0.1054
14589	0.1059
14599	0.1059
14609	0.1053
14619	0.1051
14629	0.1054
14639	0.1055
14649	0.1055
14659	0.1057
14669	0.1057
14679	0.1054
14689	0.1052
14699	0.1066
14709	0.1067
14719	0.1068
14729	0.1065
14739	0.1062
14749	0.106
14759	0.1056
14769	0.1068
14779	0.1073
14789	0.1069
14799	0.1065
14809	0.1068
14819	0.1068
14829	0.1069
14839	0.1077
14849	0.1079
14859	0.1078
14869	0.1075
14879	0.1077
14889	0.1082
14899	0.108
14909	0.1079
14919	0.1078
14929	0.1075
14939	0.1081
14949	0.1076
14959	0.1075
14969	0.1081
14979	0.1088
14989	0.1091
14999	0.1085
15009	0.1081
15019	0.1084
15029	0.1085
15039	0.1083
15049	0.1073
15059	0.1082
15069	0.1071
15079	0.1075
15089	0.1071
15099	0.1073
15109	0.1074
15119	0.1079
15129	0.1079
15139	0.1075
15149	0.1077
15159	0.1072
15169	0.1074
15179	0.107
15189	0.1069
15199	0.1058
15209	0.1061
15219	0.1063
15229	0.1063
15239	0.1058
15249	0.1062
15259	0.1062
15269	0.1052
15279	0.1054
15289	0.1055
15299	0.1055
15309	0.1053
15319	0.1055
15329	0.1054
15339	0.1052
15349	0.105
15359	0.1045
15369	0.1043
15379	0.1043
15389	0.1039
15399	0.1041
15409	0.1042
15419	0.1041
15429	0.1045
15439	0.1046
15449	0.1044
15459	0.1039
15469	0.1043
15479	0.105
15489	0.1042
15499	0.1037
15509	0.1041
15519	0.1041
15529	0.1041
15539	0.1043
15549	0.1048
15559	0.1045
15569	0.1045
15579	0.1048
15589	0.1043
15599	0.1037
15609	0.1037
15619	0.1038
15629	0.1043
15639	0.1041
15649	0.1038
15659	0.1031
15669	0.1025
15679	0.1036
15689	0.1035
15699	0.1022
15709	0.1017
15719	0.1005
15729	0.1004
15739	0.1004
15749	0.1007
